lemma1	senseID1	terms1	lemma2	senseID2	terms2
legge	bn:00050588n	{'Legge_(diritto)', 'atto_legislativo', 'legge', 'statuti', 'statuto'}	piscina	bn:00056911n	{'piscina_pubblica', 'nuoto_bagno', 'piscine', 'piscina_per_bambini', 'piscina', 'Piscine', 'vasca', 'natatorium', 'piscina_coperta'}
sorgente	bn:00009635n	{'fonte', 'inizio', 'radice', 'scaturigine', 'origine', 'sorgente', 'provenienza'}	scatola	bn:00726654n	{'scatola', 'scatola_di_legno'}
teatro	bn:00045002n	{'teatro_(architettura)', 'Teatri', 'teatro', 'Teatro_(edificio)'}	batteria	bn:00009064n	{'Pacco_batteria', 'Formule_sulla_conversione_elettrochimica', 'pila', 'Batteria_elettrica', 'Batteria_zinco-carbone', 'Batterie_alcaline', 'Pila_a_secco', 'Batteria_(chimica)', 'Pila_primaria', 'durata_della_batteria', 'Batteria_al_litio', 'Pila_(chimica)', 'Accumulatore_al_litio', 'Pila_alcalina', 'Batteria_alcalina', 'Pila_zinco-carbone', 'accumulatore', 'batteria_elettrica', 'pila_elettrica', 'Pila_(elettrotecnica)', 'Pila_Daniell', 'Batteria_primaria', 'Pila_(elettrochimica)', 'Batteria_(elettrotecnica)', 'batteria', 'Batterie_elettriche', 'Pila_elettrica'}
flora	bn:00035324n	{'specie_vegetale', 'organismo_vegetale', 'Pianta_(botanica)', 'Plantæ', 'vegetale', 'Vegetali', 'piante', 'specie_di_piante', 'pianta', 'vita_vegetale', 'Plantae', 'vegetazione', 'Flora_(botanica)', 'flora', 'flore', 'Floristica', 'Vegetale', 'pianta_(botanica)', 'Piante', 'Regno_vegetale'}	web browser	bn:00013447n	{'Navigatore_(informatica)', 'web_browser', 'browser_internet', 'client_web', 'browser_web', 'Web_browser', 'Browser_web', 'Web_browsing', 'Browser_Web', 'client_Web', 'navigatore', 'browser'}
camicia	bn:00071142n	{'camicie', 'camicia', 'Camicia'}	cardigan	bn:00015958n	{'cardigan', 'golf', 'Cardigan'}
poema	bn:00063193n	{'poesia', 'poema', 'componimento_poetico', 'rima', 'versetto_forma', 'composizione_poetica'}	ritmo	bn:00063201n	{'pattern_ritmico', 'ritmo', 'ritmica', 'ritmo_poetico', 'metrica'}
profeta	bn:08898778n	{'Profeta_(cristianesimo)', 'Profeta', 'Profeta_(Cristianesimo)'}	prete	bn:00033777n	{'sacerdote', 'prete', 'padre', 'sacerdoti_cattolici', 'prete_cattolico', 'sacerdozio_cattolico', 'sacerdote_cattolico', 'don'}
Oscar	bn:00000571n	"{'Academy_Awards', ""premio_dell'Accademia"", 'premio_Oscar', 'Premio_Oscar', 'Premi_Oscar', 'academy_award', 'Academy_Award', ""Premio_dell'Accademia"", 'Premio_oscar', 'Otranto', 'oscar', ""Nomination_all'Oscar""}"	stadio	bn:00005532n	{'Stadio_(architettura)', 'Stadi', 'stadio', 'stadi', 'stadio_a_cupola', 'palazzetto_dello_sport', 'arena', 'arena_(edificio)', 'stadio_sportivo', 'Stadi_di_calcio', 'arena_coperta', 'Stadio_calcistico', 'campo_sportivo', 'Stadio_di_calcio'}
backgammon	bn:00007779n	{'Tric-trac', 'Tavola_reale', 'tric-trac', 'backgammon', 'sbaraglino', 'Tavola_Reale', 'Backgammon'}	Go	bn:00040833n	{'go', 'go_gioco', 'Go', 'Weiqi', 'Wéiqí', 'go_(gioco)', 'Baduk'}
farfalla	bn:00050734n	{'lepidotteri', 'lepidottero', 'farfalle', 'farfalla', 'insetto_lepidopterous'}	rosa	bn:00068283n	{'rosa_(botanica)', 'Rosa_(fiore)', 'Rosa', 'rosa', 'rosaio'}
recinto	bn:00034048n	{'recinzione', 'recinto'}	salto	bn:00048558n	{'salto'}
nichilismo	bn:00057710n	{'Nihilismo', 'nichilismo', 'Nichilismo_passivo', 'nihilismo', 'Nichilista', 'Nichilisti', 'Nichilismo_attivo'}	film	bn:00034471n	"{'Opere_cinematografiche', 'motion-picture_mostra', 'cinematografica', 'film_importante', 'opera_cinematografica', 'grande_schermo', ""movimento-esposizione_dell'immagine"", 'movimento-picture', 'pellicola', 'Film_per_il_cinema', ""esposizione_dell'immagine"", 'immagini_in_movimento', 'film_teatrale', 'immagine_in_movimento', 'pellicola_cinematografica', 'film'}"
asteroide	bn:00006608n	{'asteroide', 'Asteroidi', 'Asteroide_del_sistema_solare', 'Pianetino', 'asteroidi', 'Planetoide', 'planetoide'}	stella	bn:00073964n	{'sole', 'stelle', 'Stelle', 'stella', 'astro'}
sommossa	bn:00067901n	{'Sommossa', 'Riot_(forma_di_disordine_civile)', 'violenza_di_massa', 'disordini', 'sommossa', 'Tumulto', 'Sedizione'}	disegno	bn:00028639n	{'Disegni', 'figura', 'riproduzione', 'design', 'disegno_artistico', 'disegni', 'disegno', 'illustrazione', 'Disegno_artistico'}
intimo	bn:00079003n	{'innominabile', 'lingerie', 'indumenti_intimi', 'intimo', 'mutande', 'biancheria_intima', 'Lingerie', 'indumento_intimo', 'Intimo'}	corpo	bn:14263042n	{'corpo', 'corpo_(anatomia)'}
Boeing	bn:01156257n	{'Boeing_Commercial_Airplanes', 'Boeing_Company', 'The_Boeing_Company', 'Boeing'}	aereo	bn:00001697n	{'Aereoplano', 'aeromobile', 'Aeroplani', 'velivolo', 'Aereo', 'Aereo_militare', 'apparecchio', 'areoplano', 'Aerei_militari', 'aerei', 'aereo', 'aeroplano', 'Aereo_civile', 'Aerei_civili', 'Aereoplani'}
cameo	bn:02119437n	{'Cammeo_(cinema)', 'Camei', 'cameo', 'ruolo_cameo', 'Cammeo', 'ruoli_cameo', 'Cameo'}	interpretazione	bn:00061560n	{'eseguire', 'interpretazione', 'esibizione', 'rappresentazione', 'esecuzione_artistica', 'spettacolo', 'prestazioni', 'presentazione_pubblica', 'performance', 'esecuzione'}
semestre	bn:00070408n	{'semestre'}	quadrimestre	bn:15658281n	{'Quadrimestre', 'quadrimestre'}
arancia	bn:00059251n	{'Arance', 'Citrus_sinensis', 'frutta_arancione', 'arancio', 'Arancio', 'Citrus_×_sinensis', 'Aranci', 'Citrus_nothosinensis', 'arancia', 'Arancia'}	agrume	bn:00019301n	{'Microcitrus', 'agrume', 'agrumi', 'Specie_di_Citrus', 'frutta_citrous', 'Citrus', 'Eremocitrus'}
ghiacciaio	bn:00040579n	{'Lingua_glaciale', 'ghiacciaio', 'Ghiacciai', 'ghiacciai', 'ghiacciate', 'Ghiacciaio_vallivo', 'depressione_glaciale', 'ghiaccio_glaciale', 'Lingue_glaciali'}	riscaldamento globale	bn:00040681n	"{'Riscaldamento_terrestre', 'Surriscaldamento_climatico', 'riscaldamento_globale', 'Global_warming', 'Riscaldamento_climatico', 'Surriscaldamento_globale', 'cambiamenti_climatici_di_origine_antropica', 'Surriscaldamento_terrestre', 'il_riscaldamento_globale', ""riscaldamento_globale_dell'atmosfera"", 'crisi_climatica', 'riscaldamento_planetario'}"
galleria	bn:00078606n	{'gallerie', 'Tunel', 'tunnel_ferroviario', 'cunicolo', 'Trafori', 'cut-and-cover', 'tunnel', 'Tunnel', 'Traforo', 'tunnel_sotterraneo', 'galleria_stradale', 'galleria', 'galleria_(ingegneria)', 'traforo'}	percorso	bn:00067975n	{'strada', 'via', 'via_di_comunicazione', 'percorso', 'sentiero', 'costruzione_di_strade', 'strade_rialzate'}
