frame	slot	value	definition	synset_ID
Education_teaching	FE	Precept#6514	A guideline for correct behavior. In most cases, this concerns morally or socially desirable actions.  'My brother taught me not to be mean to guys when I'm not interested in them.'	principle.n.05
Education_teaching	FE	Fact#6515	A piece of information that the Student is informed of by the Teacher.  'When I was two she taught me that a quarter was 25 cents and a dime was 10 cents.'	fact.n.01
Education_teaching	FE	Material#6566	"Educational Material, such as books, tapes, or videos, used by a Teacher or a Student to acquire skills or knowledge.  'All employees have received a booklet INSTRUCTING them on how to report ` anything from unwanted touching and uncalled-for blue jokes to overt demands for sexual favours . ""'"	material.n.04
Education_teaching	FE	Role#6567	A role, typically professional or vocational,  that the Student is meant to be able to fill as a result of their training.  ' When his father died he went to live with an uncle in Ka'u who trained him as a warrior during his teenage years'	role.n.04
Education_teaching	FE	Course#7278	FN: a program of lectures or other matter dealing with a subject	class.n.02
Education_teaching	FE	Purpose#10463	The state-of-affairs that the Teacher hopes to bring about by teaching.  'I teach so that I can see the little light-bulb light up.'	purpose.n.01
Education_teaching	LU	student.n#2243	FN: A person who is taught by another, often (at least in British English) at a university or other place of higher education 	student.n.01
Education_teaching	LU	pupil.n#2244	COD: a person who is taught by another, especially a schoolchild. 	schoolchild.n.01
Education_teaching	LU	teacher.n#2247	FN: A person who teaches in an educational establishment	teacher.n.01
Education_teaching	LU	professor.n#2253	FN: a university academic (in BrE: of the highest rank)	professor.n.01
Education_teaching	LU	tutor.n#2273	FN: a teacher, typically one who teaches a single pupil or a very small group	coach.n.02
Education_teaching	LU	lecturer.n#2283	COD: person who gives lectures, especially as a teacher in higher education. 	lector.n.02
Education_teaching	LU	tutee.n#2292	COD: a student or pupil of a tutor	tutee.n.01
Education_teaching	LU	schoolmaster.n#2294	COD: a male teacher in a school. 	schoolmaster.n.02
Education_teaching	LU	schoolmistress.n#2295	COD: a female teacher in a school	schoolmarm.n.01
Education_teaching	LU	schoolteacher.n#2296	COD: a person who teaches in a school.	schoolteacher.n.01
Education_teaching	LU	study.v#2297	COD: acquire knowledge on.	learn.v.04
Education_teaching	LU	tutor.v#2299	COD: act as a tutor to	tutor.v.01
Education_teaching	LU	coach.v#10144	COD: train or teach as a coach.	coach.v.01
Education_teaching	LU	educate.v#10145	COD: train or give information on a particular subject.	educate.v.01
Education_teaching	LU	learn.v#10147	FN: acquire knowledge of or skill in (something) through study or by being taught.	learn.v.01
Education_teaching	LU	school.v#10148	COD: train in a particular skill or activity.	school.v.01
Education_teaching	LU	train.v#10149	FN: teach a particular skill or type of behaviour through regular practice and instruction.	
Education_teaching	LU	training.n#10312	FN: instruction in a particular skill or field.	training.n.01
Education_teaching	LU	instruct.v#10556	COD: to teach	teach.v.01
Education_teaching	LU	teach.v#10740	COD: impart knowledge to or instruct (someone) in how to do something, especially in a school or as part of a recognized programme	teach.v.01
Education_teaching	LU	instruction.n#10830	COD: education. 	education.n.01
Education_teaching	LU	education.n#10841	COD:  the process of educating or being educated.	education.n.01
Education_teaching	LU	master.v#10889	COD: acquire complete knowledge or skill in	master.v.01
Education_teaching	LU	educational.a#12622	FN: of or related to the process of educating 	educational.a.01
Education_teaching	LU	graduate.n#14364	COD: a person who has been awarded a first academic degree, or (N. Amer.) a high-school diploma.	alumnus.n.01
Education_teaching	LU	protege.n#14761	FN: a student of an expert	protege.n.01
Education_teaching	LU	cram.v#15063	FN: study in an intense fashion, usually because of an imminent exam	cram.v.03
Immobilization	frame	Immobilization#250	The Agent immobilizes a Patient optionally,  to an Anchor	immobilization.n.02
Immobilization	FE	Agent#2182	The Agent immobilizes the Patient. 'Lisa handcuffed Mike to the refridgerator.'	agent.n.05
Immobilization	FE	Instrument#2183	The instrument with which an intentional act is performed.	instrument.n.02
Immobilization	FE	Patient#2184	The Patient is immobilized by the Agent, optionally to an Anchor.	affected_role.n.01
Immobilization	FE	Means#2186	An act performed by the Agent that accomplishes the immobilization.	means.n.02
Immobilization	FE	Purpose#2187	This FE identifies the Purpose for which an Agent immobilizes a Patient.  'Lisa handcuffed Mike to the refridgerator to reduce the mess.'	purpose.n.01
Immobilization	FE	Time#2188	When the event occurs.	time.n.01
Immobilization	FE	Place#2189	Where the event takes place.	place.n.13
Immobilization	FE	Anchor#2696	The Agent attaches the Patient to an Anchor, generally, an immobile object. Lisa handcuffed Mike to the refridgerator.	anchor.n.02
Immobilization	FE	Degree#5383	The extent to which the Patient is immobilized as a result.  'The policman tied up the burglar completely'	degree.n.01
Immobilization	FE	Manner#5384	Any description of the immobilizing event which is not covered by more specific FEs, including secondary effects (quietly, loudly) and general descriptions comparing events (the same way). This FE also covers expressions that indicate salient characteristics of the Agent which also affect the action (carefully, eagerly).  'Brian grabbed Kim's arm and handcuffed him quickly.'	manner.n.02
Immobilization	LU	tie up.v#4512	FN: immobilize someone or something	tie_up.v.03
Immobilization	LU	lock up.v#4760	FN: make or become rigidly fixed or immovable by locking	lock_in.v.02
Immobilization	LU	handcuff.v#4761	COD: put handcuffs on. 	manacle.v.01
Immobilization	LU	shackle.v#5669	COD: chain with shackles. 	shackle.n.01
Immobilization	LU	straitjacket.v#15611	FN: confine in a straitjacket.	straitjacket.n.01
Response_scenario	frame	Response_scenario#2231	A Trigger elicits a Response by some Responding_entity or an Agent	scenario.n.03
Response_scenario	FE	Responding_entity#13596	A non-agentive entity that is impinged upon by a Trigger event to which they respond.	entity.n.01
Response_scenario	FE	Trigger#13597	An event that impinges upon the Agent or Responding_entity and produces a Response from it.	trigger.n.03
Response_scenario	FE	Response#13598	The means action whereby the Agent responds to the Trigger. 	reaction.n.03
Response_scenario	FE	Agent#13599	The intentional Agent that is impinged upon by a Trigger event to which they respond.	agent.n.01
Response_scenario	FE	Manner#13600	A characterization of the Responding_entity, Agent, or their Response action.	manner.n.02
Response_scenario	FE	Place#13601	The location in which the Response action takes place.	place.n.13
Response_scenario	FE	Purpose#13602	An action that the Agent intends to accomplish by performing the Response action.	purpose.n.01
Response_scenario	FE	Time#13603	The point in time when the Agent or Responding_entity manifests its Response to the Trigger .	time.n.01
